"id","passerine_non_passerine","order","family_name_latin","family_name_common","taxonomy","scientific_name","common_name","diet_invertebrate","diet_vert_endo","diet_vert_ecto","diet_vert_fish","diet_vert_unknown","diet_scavenger","diet_fruit","diet_nectar","diet_seed","diet_other_plant","diet_category","diet_data_source","diet_certainty","foraging_below_water","foraging_around_surf","foraging_ground","foraging_understory","foraging_midheight","foraging_canopy","foraging_aerial","foraging_data_source","is_noctural","body_mass_value","body_mass_data_source","body_mass_spec_level","body_mass_comments","foraging_spec_level","comments","is_pelagic_specialist","bl_family_sequence_id","foraging_data_entered_by","diet_data_entered_by"
72,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothocercus nigrocapillus","Hooded Tinamou",0,0,0,0,0,0,0,0,100,0,"PlantSeed","Ref_1","B",0,0,100,0,0,0,0,"Ref_1",FALSE,586,"PrimScale",TRUE,"MarceloR",TRUE,,FALSE,1,"Jessica","Jennifer"
73,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus berlepschi","Berlepsch's Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,516.83,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
74,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus cinereus","Cinereous Tinamou",0,0,0,0,0,0,100,0,0,0,"FruiNect","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,506.63,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
75,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus soui","Little Tinamou",20,0,0,0,0,0,40,0,20,20,"Omnivore","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,216.16,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
76,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus ptaritepui","Tepui Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,411.51,"GenAvg",FALSE,,FALSE,,FALSE,1,"Walter","Jennifer"
77,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus obsoletus","Brown Tinamou",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,443.4,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
78,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus cinnamomeus","Thicket Tinamou",30,0,10,0,0,0,30,0,30,0,"Omnivore","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,422,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
80,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus undulatus","Undulated Tinamou",0,0,0,0,0,0,100,0,0,0,"FruiNect","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,564.42,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
81,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus transfasciatus","Pale-browed Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,283,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
82,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus strigulosus","Brazilian Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,430.58,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
