ebird_scientific_name,ebird_common_name,alternative_scientific_name
Hapalocrex flaviventer,Yellow-breasted Crake,Laterallus flaviventer
Harpactes reinwardtii,Javan Trogon,Apalharpactes reinwardtii
Horornis vulcanius,Sunda Bush Warbler,Horornis flavolivaceus
Hypsipetes guimarasensis,Visayan Bulbul,Hypsipetes philippinus
Ianthocincla albogularis,White-throated Laughingthrush,Garrulax albogularis
Ianthocincla caerulata,Gray-sided Laughingthrush,Garrulax caerulatus
Ianthocincla chinensis,Black-throated Laughingthrush,Garrulax chinensis
Ianthocincla davidi,Pere David's Laughingthrush,Garrulax davidi
Ianthocincla delesserti,Wayanad Laughingthrush,Garrulax delesserti
Ianthocincla lanceolata,Chinese Babax,Garrulax lanceolatus
Ianthocincla mitrata,Chestnut-capped Laughingthrush,Garrulax mitratus
Ianthocincla ocellata,Spotted Laughingthrush,Garrulax ocellatus
Ianthocincla pectoralis,Greater Necklaced Laughingthrush,Garrulax pectoralis
Ianthocincla poecilorhyncha,Rusty Laughingthrush,Garrulax poecilorhynchus
Ianthocincla ruficeps,Rufous-crowned Laughingthrush,Garrulax ruficeps
Ianthocincla rufogularis,Rufous-chinned Laughingthrush,Garrulax rufogularis
Ianthocincla sannio,White-browed Laughingthrush,Garrulax sannio
Ichthyaetus audouinii,Audouin's Gull,Larus audouinii
Ichthyaetus hemprichii,Sooty Gull,Larus hemprichii
Ichthyaetus ichthyaetus,Pallas's Gull,Larus ichthyaetus
Ichthyaetus leucophthalmus,White-eyed Gull,Larus leucophthalmus
Ichthyaetus melanocephalus,Mediterranean Gull,Larus melanocephalus
Ichthyaetus relictus,Relict Gull,Larus relictus
Indicator conirostris,Thick-billed Honeyguide,Indicator minor
Iole cacharensis,Cachar Bulbul,Iole viridescens
Iole crypta,Buff-vented Bulbul,Iole charlottae
Ixothraupis guttata,Speckled Tanager,Tangara guttata
Ixothraupis punctata,Spotted Tanager,Tangara punctata
Ixothraupis rufigula,Rufous-throated Tanager,Tangara rufigula
Ixothraupis varia,Dotted Tanager,Tangara varia
Ixothraupis xanthogastra,Yellow-bellied Tanager,Tangara xanthogastra
Juliamyia julie,Violet-bellied Hummingbird,Amazilia julie
Kurochkinegramma hypogrammicum,Purple-naped Spiderhunter,Kurochkinegramma hypogrammica
Laniarius major,Tropical Boubou,Laniarius aethiopicus
Lanius humeralis,Northern Fiscal,Lanius collaris
Lepidocolaptes layardi,Layard's Woodcreeper,Lepidocolaptes fuscicapillus
Leucophaeus modestus,Gray Gull,Larus modestus
Limnoctites sulphuriferus,Sulphur-bearded Reedhaunter,Cranioleuca sulphurifera
Luscinia phaenicuroides,White-bellied Redstart,Hodgsonius phaenicuroides
Machlolophus aplonotus,Indian Yellow Tit,Machlolophus xanthogenys
Megapomatorhinus erythrocnemis,Black-necklaced Scimitar-Babbler,Erythrogenys erythrocnemis
Megapomatorhinus erythrogenys,Rusty-cheeked Scimitar-Babbler,Erythrogenys erythrogenys
Megapomatorhinus gravivox,Black-streaked Scimitar-Babbler,Erythrogenys gravivox
Megapomatorhinus hypoleucos,Large Scimitar-Babbler,Erythrogenys hypoleucos
Megapomatorhinus swinhoei,Gray-sided Scimitar-Babbler,Erythrogenys swinhoei
Megascops centralis,Choco Screech-Owl,Megascops vermiculatus
Megascops roraimae,Foothill Screech-Owl,Megascops vermiculatus
Melopyrrha violacea,Greater Antillean Bullfinch,Pyrrhulagra violacea
Mentrocrex kioloides,Madagascar Wood-Rail,Mentocrex kioloides
Muscicapa williamsoni,Brown-streaked Flycatcher,Muscicapa dauurica
Mustelirallus albicollis,Ash-throated Crake,Porzana albicollis
Mustelirallus erythrops,Paint-billed Crake,Neocrex erythrops
Neocossyphus finschi,Finsch's Flycatcher-Thrush,Stizorhina finschi
Neocossyphus fraseri,Rufous Flycatcher-Thrush,Stizorhina fraseri
Nisaetus kelaarti,Legge's Hawk-Eagle,Nisaetus nipalensis
Oenanthe lugubris,Abyssinian Wheatear,Oenanthe lugens
Oressochen jubatus,Orinoco Goose,Neochen jubata
Oressochen melanopterus,Andean Goose,Chloephaga melanoptera
Parus cinereus,Cinereous Tit,Parus major
Parus minor,Japanese Tit,Parus major
Pellorneum bicolor,Ferruginous Babbler,Trichastoma bicolor
Pellorneum malaccense,Short-tailed Babbler,Trichastoma malaccense
Pellorneum rostratum,White-chested Babbler,Trichastoma rostratum
Pellorneum tickelli,Buff-breasted Babbler,Trichastoma tickelli
Pericrocotus speciosus,Scarlet Minivet,Pericrocotus flammeus
