ebird_scientific_name,ebird_common_name,alternative_scientific_name
Passerculus sandwichensis,Savannah Sparrow,Passerculus rostratus
Passerella iliaca,Fox Sparrow,Passerella megarhyncha
Passerella iliaca,Fox Sparrow,Passerella schistacea
Passerella iliaca,Fox Sparrow,Passerella unalaschcensis
Patagioenas fasciata,Band-tailed Pigeon,Patagioenas albilinea
Patagioenas maculosa,Spot-winged Pigeon,Patagioenas albipennis
Pellorneum capistratum,Black-capped Babbler,Pellorneum nigrocapitatum
Pericrocotus solaris,Grey-chinned Minivet,Pericrocotus montanus
Phacellodomus rufifrons,Rufous-fronted Thornbird,Phacellodomus inornatus
Phaeomyias murina,Mouse-coloured Tyrannulet,Phaeomyias tumbezana
Phaethornis longirostris,Long-billed Hermit,Phaethornis baroni
Phapitreron leucotis,White-eared Brown-Dove,Phapitreron nigrorum
Phasianus colchicus,Common Pheasant,Phasianus versicolor
Pheugopedius sclateri,Speckle-breasted Wren,Pheugopedius columbianus
Pheugopedius sclateri,Speckle-breasted Wren,Pheugopedius paucimaculatus
Turdoides atripennis,Capuchin Babbler,Phyllanthus rubiginosus
Phyllomyias burmeisteri,Rough-legged Tyrannulet,Phyllomyias zeledoni
Phylloscopus collybita,Common Chiffchaff,Phylloscopus tristis
Picoides tridactylus,Eurasian Three-toed Woodpecker,Picoides funebris
Picus canus,Grey-headed Woodpecker,Picus guerini
Pionus menstruus,Blue-headed Parrot,Pionus reichenowi
Pipraeidea bonariensis,Blue-and-yellow Tanager,Pipraeidea darwinii
Piranga flava,Hepatic Tanager,Piranga hepatica
Platyrinchus mystaceus,White-throated Spadebill,Platyrinchus albogularis
Ploceus nigricollis,Black-necked Weaver,Ploceus brachypterus
Ploceus nigerrimus,Vieillot's Weaver,Ploceus castaneofuscus
Podiceps occipitalis,Silvery Grebe,Podiceps juninensis
Lybius minor,Black-backed Barbet,Pogonornis macclounii
Lybius minor,Black-backed Barbet,Pogonornis minor
Pomatorhinus ferruginosus,Coral-billed Scimitar-Babbler,Pomatorhinus phayrei
Prinia flaviventris,Yellow-bellied Prinia,Prinia sonitans
Psarocolius angustifrons,Russet-backed Oropendola,Psarocolius oleagineus
Psilopogon duvaucelii,Blue-eared Barbet,Psilopogon cyanotis
Psittacara wagleri,Scarlet-fronted Parakeet,Psittacara frontatus
Psittacus erithacus,Grey Parrot,Psittacus timneh
Psophia viridis,Dark-winged Trumpeter,Psophia obscura
Psophocichla litsitsirupa,Groundscraper Thrush,Psophocichla simensis
Pterodroma feae,Fea's Petrel,Pterodroma deserta
Pteroglossus inscriptus,Lettered Aracari,Pteroglossus humboldti
Ptilinopus superbus,Superb Fruit-Dove,Ptilinopus temminckii
Ptyonoprogne fuligula,Rock Martin,Ptyonoprogne obsoleta
Ptyonoprogne fuligula,Rock Martin,Ptyonoprogne rufigula
Pycnonotus finlaysoni,Stripe-throated Bulbul,Pycnonotus davisoni
Pyrrhura picta,Painted Parakeet,Pyrrhura emma
Ramphastos vitellinus,Channel-billed Toucan,Ramphastos ariel
Ramphastos vitellinus,Channel-billed Toucan,Ramphastos culminatus
Ramphastos tucanus,White-throated Toucan,Ramphastos cuvieri
Ptilinopus epius,Maroon-chinned Fruit-Dove,Ramphiculus epius
Rhynchocyclus olivaceus,Olivaceous Flatbill,Rhynchocyclus aequinoctialis
Riparia paludicola,Plain Martin,Riparia cowani
Tadorna cristata,Crested Shelduck,Tadorna cristata
Taeniopygia guttata,Zebra Finch,Taeniopygia castanotis
Stilpnia cyanoptera,Tangara argentea,Tangara argentea
Tangara arthus,Golden Tanager,Tangara aurulenta
Tangara mexicana,Turquoise Tanager,Tangara brasiliensis
Tangara velia,Opal-rumped Tanager,Tangara cyanomelas
Stilpnia cayana,Burnished-buff Tanager,Tangara flava
Tangara parzudakii,Flame-faced Tanager,Tangara lunigera
Terpsiphone cinnamomea,Rufous Paradise-Flycatcher,Terpsiphone unirufa
Thalassarche chlororhynchos,Yellow-nosed Albatross,Thalassarche carteri
Thalassarche melanophris,Black-browed Albatross,Thalassarche impavida
Thalassarche cauta,White-capped Albatross,Thalassarche steadi
Tityra cayana,Black-tailed Tityra,Tityra braziliensis
Trachyphonus purpuratus,Yellow-billed Barbet,Trachylaemus goffinii
Trachyphonus purpuratus,Yellow-billed Barbet,Trachylaemus togoensis
Trachyphonus darnaudii,D'Arnaud's Barbet,Trachyphonus emini
Treron calvus,African Green-Pigeon,Treron delalandii
Pellorneum buettikoferi,Sumatran Babbler,Trichastoma buettikoferi
Pellorneum celebense,Sulawesi Babbler,Trichastoma celebense
Trochocercus cyanomelas,African Crested-Flycatcher,Trochocercus bivittatus
Trogon elegans,Elegant Trogon,Trogon ambiguus
Trogon surrucura,Surucua Trogon,Trogon aurantius
Tunchiornis ochraceiceps,Tawny-crowned Greenlet,Tunchiornis luteifrons
Turdinus crispifrons,Limestone Wren-Babbler,Turdinus calcicola
Turdoides striata,Jungle Babbler,Turdoides somervillei
Turdus plumbeus,Red-legged Thrush,Turdus ardosiaceus
Turdus ignobili,Black-billed Thrush,Turdus debilis
Chloropicus elachus,Little Gray Woodpecker,Dendropicos elachus
Emberiza vincenti,Vincent's Bunting,Emberiza capensis
Napothera albostriata,Sumatran Wren-Babbler,Rimator malacoptilus
Harpactes mackloti,Sumatran Trogon,Apalharpactes mackloti
Campylopterus calcirupicola,Dry-forest Sabrewing,Campylopterus largipennis
Oceanodroma socorroensis,Townsend's Storm-Petrel,Hydrobates leucorhous
Chloropicus stierlingi,Stierling's Woodpecker,Dendropicos stierlingi
Macropygia cinnamomea,Enggano Cuckoo-Dove,Macropygia emiliana
Gracula enganensis,Enggano Myna,Gracula religiosa
Macropygia modiglianii,Barusan Cuckoo-Dove,Macropygia emiliana
Pseudibis gigantea,Giant Ibis,Thaumatibis gigantea
Cossypha anomala,Olive-flanked Robin-Chat,Dessonornis anomalus
