common_name,scientific_name,alternative_common_names,alternative_scientific_names
Trinidad Piping-guan,Pipile pipile,"Common Piping Guan, Trinidad Piping-Guan, Trinidad White-headed Piping Guan, Trinidad White-headed Curassow, Pava Rajadora, Pava de Trinidad, Yacutinga Cariazul",
Blue-throated Piping-guan,Pipile cumanensis,Blue-throated Piping-Guan,
White-throated Piping-guan,Pipile grayi,,
Red-throated Piping-guan,Pipile cujubi,Red-throated Piping-Guan,Aburria cujubi
Black-fronted Piping-guan,Pipile jacutinga,"Black-fronted Piping-Guan, Black-fronted Piping Guan, Black Fronted Curassow, Pava Yacutinga, Yacuting� Frentinegra",Penelope jacutinga
,Pipile cumanensis,Blue-throated Piping-Guan,
Wattled Guan,Aburria aburri,,
Horned Guan,Oreophasis derbianus,"Pav�n Cornudo, Pav�n, Pava Pajuil, Pauj� Cornudo, Guan Cornudo",
Plain Chachalaca,Ortalis vetula,,
Grey-headed Chachalaca,Ortalis cinereiceps,Gray-headed Chachalaca,
Chestnut-winged Chachalaca,Ortalis garrula,,
Rufous-vented Chachalaca,Ortalis ruficauda,,
Rufous-headed Chachalaca,Ortalis erythroptera,Rufous Headed Chachalaca,
Rufous-bellied Chachalaca,Ortalis wagleri,,
West Mexican Chachalaca,Ortalis poliocephala,,
Chaco Chachalaca,Ortalis canicollis,,
White-bellied Chachalaca,Ortalis leucogastra,,
Colombian Chachalaca,Ortalis columbiana,,
Speckled Chachalaca,Ortalis guttata,,
East Brazilian Chachalaca,Ortalis araucuan,Brazilian Chachalaca,
Scaled Chachalaca,Ortalis squamata,,
Little Chachalaca,Ortalis motmot,Variable Chachalaca,
Buff-browed Chachalaca,Ortalis superciliaris,Chachacalaca Cejuda,
,Ortalis guttata,,
,Ortalis guttata,,
,Ortalis guttata,,
,Ortalis squamata,,
Nocturnal Curassow,Nothocrax urumutum,,
Great Curassow,Crax rubra,Pav�n Norte�o,
Blue-billed Curassow,Crax alberti,"Pav�n Piquiazul, Blue-knobbed Curassow",
Yellow-knobbed Curassow,Crax daubentoni,Pav�n Por�,
Black Curassow,Crax alector,,
Bare-faced Curassow,Crax fasciolata,,
Belem Curassow,Crax pinima,,
Wattled Curassow,Crax globulosa,Pav�n Carunculado,
Red-billed Curassow,Crax blumenbachii,"Red-knobbed Curassow, Mutum, Muit� Mamaco, Pav�n Piquirrojo",
,Crax fasciolata,,
Crestless Curassow,Mitu tomentosum,,Mitu tomentosa; Crax tomentosa
Alagoas Curassow,Mitu mitu,"Mutum-de-alagoas, Mutum, Pauj� Menor, Pauj� de Alagoas",
Razor-billed Curassow,Mitu tuberosum,,Mitu tuberosa; Crax tuberosa
Salvin's Curassow,Mitu salvini,Salvin's Currasow,Crax salvini
Horned Curassow,Pauxi unicornis,,
Sira Curassow,Pauxi koepckeae,,
