Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Abeillia_abeillei,-4.1471894034867,-0.486051901031711,0.717943951935785,-0.50053266004418,-0.443798492960807,-0.0870932124049836,-0.469908693849594,-0.321175548387556,-0.0750712183116848,-1.86098256464928,0.987627399948703,-0.409248844639749,0.165533946047837,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Abroscopus_albogularis,-3.12094489076019,0.32410066931518,-0.159078922347128,-0.0431062364423627,0.275685028161615,-0.0599446857004808,0.174917212281879,-0.0885138775311587,0.0357667332299083,-1.71708863157575,-0.121698865161981,0.149835935630851,-0.0476620802788495,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_schisticeps,-3.1492176267867,0.422665955101459,-0.215050260020891,-0.107047723367956,0.293913059625697,-0.0274292495443454,0.102600408676545,-0.0759407645535919,0.0128475920644889,-1.81714528407073,-0.139673800073427,0.0801066760689904,-0.0233059530309022,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_superciliaris,-2.60841506046295,-0.00679547182878815,-0.0203131296117116,-0.0298399872799192,0.283498850947959,0.0888491636239203,0.116898160339159,0.00832428314328451,0.000293803850559771,-1.22100698265099,0.0574798558630625,0.104713681544435,0.0362134170962263,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal
Aburria_aburri,4.03984901097591,1.15416789867933,-0.152761562276226,-0.508403725025202,-0.203767661684324,-0.157020310754742,0.116997733464385,0.208261785112722,0.00697101930722527,0.891459821153581,-0.127495797661565,0.0843158163392967,-0.234310482285614,Neotropic,Herbivore,Frugivore,Fugivore glean
Acanthagenys_rufogularis,-0.0446971231773486,0.247753693774053,-0.0553858840316268,-0.539363151307202,0.0198073982806886,-0.189723238859879,-0.103727451036878,0.0463342035602404,0.158523002324637,-0.306532400702579,0.271303974487483,-0.136822012863181,-0.207952020104399,Australian,Herbivore,Omnivore,NA
Acanthidops_bairdii,-1.36004081887323,-0.157776922583744,-0.0279805457102771,0.0777417737551505,0.281796177882747,0.00522334918851514,-0.138569988689015,-0.0121564205152565,-0.0363273164452351,-0.473672540859752,-0.0033958636111525,-0.149940766420048,0.0874324478240441,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal
Acanthisitta_chloris,-2.84499967229447,0.19311512823056,0.508703684610012,0.217819320152367,0.362970371802388,0.240671173359709,0.0995222565348841,-0.0370797623731935,0.0590650042068261,-1.50350666871748,0.157506463449041,0.0766639105530326,-0.0577447723648948,Australian,Carnivore,Invertivore,Invertivore bark
Acanthiza_apicalis,-2.61142899989676,0.375626818067087,0.0176743687547878,-0.100773767556131,0.284651164192689,-0.0542205648598063,-0.0808739710358816,-0.0151248303468723,-0.0245199201991873,-1.55731230111316,0.0155076341915814,-0.106624893760448,0.00929852706116838,Australian,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_chrysorrhoa,-2.4188037889311,0.399233325060502,0.204850821665051,-0.0984376991539307,0.207985464871948,0.143722118304281,-0.0910766040084948,0.0534469546508503,0.0315131686575152,-1.5167656543451,0.128245510008396,-0.107056263444559,-0.0353164023723694,Australian,Carnivore,Invertivore,Invertivore ground
Acanthiza_ewingii,-2.73883045706771,0.509125427080114,0.111242483660453,-0.260721807161761,0.434308559839899,-0.0541641893847287,-0.169242250127609,-0.0709234605819588,-0.000970202361762179,-1.74628635125919,0.141698867423951,-0.209225744676753,-0.036672505841822,Australian,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_inornata,-2.72327147081316,0.250522286762674,0.10325249330278,0.0544496542196503,0.293447500345427,-0.00458793568317634,-0.107747456325465,0.00240615968276889,0.0532703148189755,-1.48147384229609,-0.000598493466494154,-0.136680767204345,-0.0424188709434963,Australian,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_iredalei,-2.99727628594433,0.500819531512254,0.0457920246635283,-0.0345851936014914,0.282348802974945,-0.00677375063915575,-0.0778631254850627,-0.0278751022626127,0.0081858625945691,-1.83404077871287,-0.0458315855409935,-0.104170856265529,-0.0265608858239827,Australian,Carnivore,Invertivore,Generalist
Acanthiza_katherina,-2.66885043032233,0.357609690612642,0.0363761067593107,-0.127873729638036,0.266646139496724,-0.021473347563326,-0.0653884805294645,-0.0313557459125208,0.0422702433604524,-1.57278729217721,0.0488175640131033,-0.0920135950359092,-0.0523658801801473,Australian,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_lineata,-2.82952179655136,0.48139234471164,-0.037283873204384,0.106048302157862,0.238731668038942,0.00453299523426259,-0.168906880042972,-0.0557899144284266,-0.0406323765749791,-1.70790130493815,-0.197097592305345,-0.183143926977023,0.041504194058677,Australian,Omnivore,Invertivore,Invertivore glean arboreal
Acanthiza_murina,-2.52327879917659,0.329713496938314,0.169278887424128,0.0693809014529882,0.22994063778461,0.157423276009705,-0.0803123861453887,-0.0340967894309034,0.0322183651835267,-1.46474804816961,-0.000148604435996402,-0.0914343550671742,-0.0211850215835684,Australian,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_nana,-2.83363132846432,0.341531853366944,-0.0562288589803756,0.0766994543034538,0.305360661550313,0.0372064207986194,-0.0907062748794244,-0.0620705887791445,0.0493876843732335,-1.57877372881804,-0.150321951080575,-0.112952001105796,-0.0339592543289253,Australian,Carnivore,Invertivore,Invertivore glean arboreal
