"city_name","ebird_code","common_name","scientific_name","species_category","number_of_non_zero_frequency","longest_run_of_non_zero_frequency","smallest_precision"
"Hanoi","scbmun2","Scaly-breasted Munia (Scaled)","Lonchura punctulata [nisoria Group]","group (polytypic)","4","3","180"
"Hanoi","spwgro1","Spot-winged Grosbeak","Mycerobas melanozanthos","species","4","3","180"
"Hanoi","brbbul1","Brown-breasted Bulbul","Pycnonotus xanthorrhous","species","4","3","180"
"Hanoi","gyebul2","Gray-eyed Bulbul (Gray-eyed)","Iole propinqua [propinqua Group]","group (polytypic)","4","3","180"
"Hanoi","sbwbab1","Scaly-breasted Cupwing","Pnoepyga albiventer","species","4","3","180"
"Hanoi","white-1","white-eye sp.","Zosteropidae sp.","spuh","4","3","180"
"Hanoi","litspi1","Little Spiderhunter","Arachnothera longirostra","species","4","3","180"
"Hanoi","ruwful1","Rufous-winged Fulvetta","Schoeniparus castaneceps","species","4","3","180"
"Hanoi","golpar2","Golden Parrotbill","Suthora verreauxi","species","4","3","180"
"Hanoi","treron1","green-pigeon sp.","Treron sp.","spuh","4","3","180"
"Hanoi","bkhsib1","Black-headed Sibia (Black-headed)","Heterophasia desgodinsi desgodinsi/tonkinensis","group (polytypic)","4","3","180"
"Hanoi","grtsun1","Green-tailed Sunbird","Aethopyga nipalensis","species","4","3","180"
"Hanoi","strept1","Streptopelia sp.","Streptopelia sp.","spuh","4","3","180"
"Hanoi","vefnut1","Velvet-fronted Nuthatch","Sitta frontalis","species","4","3","180"
"Hanoi","redjun","Red Junglefowl","Gallus gallus","species","4","3","180"
"Hanoi","gyhfie1","Gray-headed Fish-Eagle","Haliaeetus ichthyaetus","species","4","3","180"
"Hanoi","stsbab1","Short-tailed Scimitar-Babbler","Napothera danjoui","species","4","3","180"
"Hanoi","pacreh1","Pacific Reef-Heron","Egretta sacra","species","4","3","180"
"Hanoi","butwar1","Buff-throated Warbler","Phylloscopus subaffinis","species","4","3","180"
"Hanoi","fotswi1","fork-tailed swift sp.","Apus pacificus/salimalii/leuconyx/cooki","spuh","4","3","180"
"Hanoi","blurot2","Blue Rock-Thrush (philippensis)","Monticola solitarius philippensis","group (monotypic)","4","3","180"
"Hanoi","plover2","plover sp.","Charadriidae sp.","spuh","4","3","180"
"Hanoi","blurot5","Blue Rock-Thrush (pandoo)","Monticola solitarius pandoo","group (monotypic)","4","3","180"
"Hanoi","coucal1","coucal sp.","Centropus sp.","spuh","4","3","180"
"Hanoi","whimbr","Whimbrel","Numenius phaeopus","species","4","3","180"
"Hanoi","flabul1","Flavescent Bulbul","Pycnonotus flavescens","species","4","3","180"
"Hanoi","whtrob4","White-tailed Robin (White-tailed)","Myiomela leucura leucura/montium","group (polytypic)","4","3","180"
"Hanoi","blwlau1","Blue-winged Laughingthrush","Trochalopteron squamatum","species","4","3","180"
"Hanoi","scamin2","Scarlet Minivet (Scarlet)","Pericrocotus speciosus [speciosus Group]","group (polytypic)","4","3","180"
"Hanoi","reflio3","Scarlet-faced Liocichla","Liocichla ripponi","species","4","3","180"
"Hanoi","grypep2","Gray Peacock-Pheasant","Polyplectron bicalcaratum","species","4","3","180"
"Hanoi","sttyuh1","Stripe-throated Yuhina","Yuhina gularis","species","4","3","180"
"Hanoi","grekno","Great Knot","Calidris tenuirostris","species","4","3","180"
"Hanoi","gobful1","Golden-breasted Fulvetta","Lioparus chrysotis","species","4","3","180"
"Hanoi","bkttit1","Black-throated Tit (Black-throated)","Aegithalos concinnus [concinnus Group]","group (polytypic)","4","3","180"
"Hanoi","pipit1","pipit sp.","Anthus sp.","spuh","4","3","180"
"Hanoi","buebar1","Blue-eared Barbet (Blue-eared)","Psilopogon duvaucelii cyanotis/orientalis","group (polytypic)","4","3","180"
"Hanoi","blkkit1","Black Kite (Black)","Milvus migrans [migrans Group]","group (polytypic)","4","3","180"
"Hanoi","redava2","Red Avadavat (Yellow-bellied)","Amandava amandava flavidiventris","group (monotypic)","4","3","180"
"Hanoi","lirplo1","Little Ringed Plover (curonicus)","Charadrius dubius curonicus","group (monotypic)","4","3","180"
"Hanoi","larnil1","Large Niltava","Niltava grandis","species","4","3","180"
"Hanoi","lirplo2","Little Ringed Plover (dubius/jerdoni)","Charadrius dubius dubius/jerdoni","group (polytypic)","4","3","180"
"Hanoi","gubter1","Gull-billed Tern","Gelochelidon nilotica","species","4","3","180"
"Hanoi","rudkin1","Ruddy Kingfisher","Halcyon coromanda","species","4","3","180"
"Hanoi","swift1","swift sp.","Apodidae sp.","spuh","4","3","180"
"Hanoi","rubeag2","Rufous-bellied Eagle","Lophotriorchis kienerii","species","4","3","180"
