LOCALITY_ID,LATITUDE,LONGITUDE,CITY_NAME,POP_2015,BU_2015,ELEVATION
L370768,37.770019300000001,-122.502880099999999,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L302090,37.756194200000003,-122.510089899999997,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L730351,37.435919100000000,-122.098917999999998,San Jose,4609129.782537000253797,1312.896572999999989,"1"
L247929,37.804127299999998,-122.464263299999999,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L268122,37.803545100000001,-122.256717699999996,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L1398193,37.832523799999997,-122.235529200000002,San Jose,4609129.782537000253797,1312.896572999999989,"210"
L997003,37.588645900000003,-122.315227399999998,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L1251382,37.915788300000003,-122.380528499999997,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L791371,37.712691800000002,-122.487945600000003,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L419667,37.738370400000001,-122.453398699999994,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L467982,37.563540500000002,-122.248714000000007,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L4972400,37.389751699999998,-121.847020999999998,San Jose,4609129.782537000253797,1312.896572999999989,"287"
L109465,37.720700000000001,-122.493099999999998,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L817294,37.735884400000003,-122.485005900000004,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L509134,37.752597500000000,-122.247383600000006,San Jose,4609129.782537000253797,1312.896572999999989,"210"
L743012,37.767538600000002,-122.499597100000003,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L109439,37.769646100000003,-122.484126099999997,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L583789,37.866180800000002,-122.313537600000004,San Jose,4609129.782537000253797,1312.896572999999989,"272"
L1573659,37.770465899999998,-122.505618999999996,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L8284676,37.416862999999999,-121.928998000000007,San Jose,4609129.782537000253797,1312.896572999999989,"226"
